hotel_id,city,distance,stars,rating,country,city_actual,rating_reviewcount,center1label,center2label,neighbourhood,accommodation_type
1,Amsterdam,3.1,4.0,4.3,Netherlands,Amsterdam,1030.0,City centre,Montelbaanstoren,Amsterdam,Hotel
2,Amsterdam,0.9,2.0,4.1,Netherlands,Amsterdam,372.0,City centre,Montelbaanstoren,Amsterdam,Hostel
3,Amsterdam,1.5,4.0,4.1,Netherlands,Amsterdam,165.0,City centre,Montelbaanstoren,Amsterdam,Hotel
4,Amsterdam,1.9,3.0,3.5,Netherlands,Amsterdam,298.0,City centre,Montelbaanstoren,Amsterdam,Hotel
5,Amsterdam,1.8,3.5,4.0,Netherlands,Amsterdam,4.0,City centre,Montelbaanstoren,Amsterdam,Hotel
6,Amsterdam,1.9,4.0,4.1,Netherlands,Amsterdam,310.0,City centre,Montelbaanstoren,Amsterdam,Hotel
7,Amsterdam,0.8,3.5,4.4,Netherlands,Amsterdam,258.0,City centre,Montelbaanstoren,Amsterdam,Hotel
8,Amsterdam,0.9,4.0,4.8,Netherlands,Amsterdam,210.0,City centre,Montelbaanstoren,Amsterdam,Hotel
9,Amsterdam,1.0,4.0,4.4,Netherlands,Amsterdam,967.0,City centre,Montelbaanstoren,Amsterdam,Hotel
10,Amsterdam,1.8,4.0,3.7,Netherlands,Amsterdam,6.0,City centre,Montelbaanstoren,Amsterdam,Apartment
11,Amsterdam,2.2,3.0,3.7,Netherlands,Amsterdam,341.0,City centre,Montelbaanstoren,Amsterdam,Hotel
12,Amsterdam,1.2,2.0,3.0,Netherlands,Amsterdam,80.0,City centre,Montelbaanstoren,Amsterdam,Hotel
13,Amsterdam,1.4,3.0,3.9,Netherlands,Amsterdam,9.0,City centre,Montelbaanstoren,Amsterdam,Apartment
14,Amsterdam,1.7,4.0,3.7,Netherlands,Amsterdam,100.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
15,Amsterdam,1.7,4.0,4.5,Netherlands,Amsterdam,52.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
16,Amsterdam,1.7,5.0,4.4,Netherlands,Amsterdam,394.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
17,Amsterdam,1.7,4.0,4.1,Netherlands,Amsterdam,434.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
18,Amsterdam,1.8,3.0,3.7,Netherlands,Amsterdam,170.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
19,Amsterdam,1.7,5.0,4.1,Netherlands,Amsterdam,374.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
20,Amsterdam,2.2,3.5,4.5,Netherlands,Amsterdam,344.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
21,Amsterdam,2.4,3.5,3.9,Netherlands,Amsterdam,316.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
22,Amsterdam,2.3,4.0,4.5,Netherlands,Amsterdam,880.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Hotel
23,Amsterdam,2.5,4.0,4.8,Netherlands,Amsterdam,47.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,Apart-hotel
24,Amsterdam,2.9,4.0,4.5,Netherlands,Amsterdam,114.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
25,Amsterdam,1.8,2.0,2.9,Netherlands,Amsterdam,194.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
26,Amsterdam,2.7,4.0,4.0,Netherlands,Amsterdam,375.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
27,Amsterdam,2.6,4.0,4.5,Netherlands,Amsterdam,14.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
28,Amsterdam,2.7,4.0,4.0,Netherlands,Amsterdam,629.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
29,Amsterdam,2.7,4.0,4.6,Netherlands,Amsterdam,305.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
30,Amsterdam,3.3,3.0,4.0,Netherlands,Amsterdam,120.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
31,Amsterdam,3.2,4.0,4.0,Netherlands,Amsterdam,184.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
32,Amsterdam,1.9,3.0,3.5,Netherlands,Amsterdam,49.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
33,Amsterdam,2.7,3.0,3.0,Netherlands,Amsterdam,900.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
34,Amsterdam,3.4,3.0,4.3,Netherlands,Amsterdam,177.0,City centre,Montelbaanstoren,Amsterdam South,Hotel
35,Amsterdam,3.2,2.5,2.7,Netherlands,Amsterdam,10.0,City centre,Montelbaanstoren,Amsterdam South,House boat
36,Amsterdam,4.7,2.0,3.9,Netherlands,Amsterdam,94.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
37,Amsterdam,4.5,3.5,4.5,Netherlands,Amsterdam,590.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
